http://org.softlang.com/EcorePackageGenmodel,stargazers_count,pushed_at,http://org.softlang.com/EcorePackageXMI,http://org.softlang.com/qegal/EE,http://org.softlang.com/Folder,language,repository,http://org.softlang.com/Ant,genmodel,http://org.softlang.com/qegal/EJ1,http://org.softlang.com/qegal/EJ3,http://org.softlang.com/Pom,http://org.softlang.com/qegal/EJ2,http://org.softlang.com/Gradle,http://org.softlang.com/EcorePackageJava,state,http://org.softlang.com/File,http://org.softlang.com/EcoreClassifierJava,http://org.softlang.com/EcoreClassifierXMI,duplicates,http://org.softlang.com/GeneratorModel,http://org.softlang.com/qegal/E,http://org.softlang.com/qegal/G,http://org.softlang.com/Ecore,sha,http://org.softlang.com/qegal/EJJ,http://org.softlang.com/correspondsTo,eobject,http://org.softlang.com/qegal/J,size,http://org.softlang.com/partOf,ecore,default_branch,http://org.softlang.com/qegal/EJc2,components,sha_data,http://org.softlang.com/EClass,http://org.softlang.com/manifestsAs,created_at,http://org.softlang.com/Genmodel,http://org.softlang.com/uri,http://org.softlang.com/refersTo,updated_at,http://org.softlang.com/EcoreFactoryJava,http://org.softlang.com/name,http://org.softlang.com/OSGiProject,uniform_build,http://org.softlang.com/XML,http://org.softlang.com/nsUri,http://org.softlang.com/Manifest,http://org.softlang.com/refOccurs,http://org.softlang.com/Java,http://org.softlang.com/elementOf,time,watchers_count,http://org.softlang.com/nsPrefix,forks_count
1.0,0.0,2017-01-16T13:57:57Z,1.0,,19.0,Java,DFKI-CPS/scemf,0.0,1.0,,1.0,0.0,,0.0,1.0,done,40.0,8.0,8.0,0.0,1,1.0,1.0,1.0,c6f98a6fee96001bec3c099bf8a1d1b88dd69952,,9.0,7.0,1.0,43.0,68.0,1.0,master,,1.0,2017-01-16T13:57:54Z,1,59.0,2017-01-16T13:32:50Z,1.0,16.0,1.0,2017-01-16T13:57:59Z,1.0,8.0,1.0,True,7.0,11.0,1.0,2.0,21.0,52.0,593,0.0,1.0,0.0
1.0,0.0,2017-02-12T20:02:26Z,8.0,,62.0,JavaScript,DFKI-CPS/chimpanc,0.0,1.0,7.0,1.0,0.0,,0.0,1.0,done,134.0,8.0,193.0,0.0,1,8.0,1.0,2.0,2cce971b48655029ab596ccc82974a522a43a06a,,9.0,7.0,1.0,24001.0,397.0,2.0,master,,1.0,2017-02-12T20:02:22Z,1,196.0,2016-09-19T08:01:52Z,1.0,16.0,1.0,2017-01-16T13:34:38Z,1.0,8.0,1.0,True,11.0,11.0,1.0,2.0,21.0,249.0,875,0.0,1.0,0.0
2.0,0.0,2017-04-27T09:32:20Z,3.0,2.0,42.0,0,cmodw/emf-profiles_testpetrinet,0.0,2.0,1.0,2.0,0.0,,0.0,1.0,done,150.0,6.0,12.0,0.0,2,3.0,2.0,3.0,82585de0d4e5d19ad76fa409a7a654917677f47a,,14.0,3.0,1.0,243.0,208.0,2.0,master,,1.0,2017-04-27T09:30:40Z,3,192.0,2017-04-27T09:19:43Z,2.0,18.0,2.0,2017-04-27T09:19:43Z,1.0,12.0,3.0,True,20.0,17.0,1.0,15.0,32.0,88.0,672,0.0,3.0,0.0
